NAICS  Code,Kind of Business,Jan. 1998,Feb. 1998,Mar. 1998,Apr. 1998,May-98,Jun. 1998,Jul. 1998,Aug. 1998,Sep. 1998,Oct. 1998,Nov. 1998,Dec. 1998
452111,Department stores(excl. discount department stores),"5,474","6,070","6,982","7,221","7,619","6,911","6,837","7,777","6,894","7,654","9,592","15,277"
452112,Discount dept. stores,"8,413","8,570","9,634","10,323","10,962","10,323","10,071","10,585","9,573","10,557","12,572","17,399"
4529,Other general merchandise stores,"8,600",8380,9496,"9,890","10,598","10,561","10,484","10,645","10,220","11,146","12,213","15,558"
45291,Warehouse clubs and superstores,"6,661","6,396","7,275","7,582","8,167","8,178","8,118","8,286","7,964","8,639","9,436","11,791"
45299,All other gen. merchandise stores,"1,939","1,984","2,221","2,308","2,431","2,383","2,366","2,359","2,256","2,507","2,777","3,767"
453,Miscellaneous store retailers,"7,098","7,272","7,582","7,583","8,054","8,239","8,221","8,257","8,256","8,358","8,253","11,196"
4532,"Office supplies, stationery, and gift stores","2,784","2,746","2,816","2,667","2,722","2,736","2,866","3,010","3,188","3,213","3,340","5,032"
45321,Office supplies and stationery stores,"1,730","1,516","1,584","1,412","1,392","1,421","1,512","1,675","1,866","1,760","1,663","1,991"
45322,"Gift, novelty, and souvenir stores","1,054","1,230","1,232","1,255","1,330","1,315","1,354","1,335","1,322","1,453","1,677","3,041"
45330,Used merchandise stores,633,710,725,665,673,698,782,762,770,844,795,966
454,Nonstore retailers,"10,470","9,970","11,326","10,391","10,100","10,217","10,264","10,044","10,884","12,327","12,990","14,921"
4541,Electronic shopping and mail-order houses,"5,794","5,455","6,528","6,096","6,111","5,977","6,115","6,056","6,711","7,483","8,156","9,815"
45431,Fuel dealers,"2,324","1,996","1,984","1,515","1,285","1,209","1,177","1,140","1,269","1,483","1,585","1,958"
722,Food services and drinking places,"20,408","20,096","22,340","22,241","23,872","23,200","23,744","23,857","22,328","23,735","22,022","23,351"
7224,Drinking places,"1,108","1,089","1,199","1,126","1,177","1,154","1,232","1,205","1,143","1,227","1,117","1,180"
7225,Restaurants and other eating places,"17,721","17,401","19,356","19,328","20,728","20,073","20,643","20,754","19,286","20,475","19,022","20,153"
722511,Full service restaurants,"9,109","9,073","9,926","9,778","10,371","10,150","10,402","10,484","9,792","10,399","9,664","10,284"
"722513, 722514, 722515",Limited service eating places,"8,612","8,328","9,430","9,550","10,357","9,923","10,241","10,270","9,494","10,076","9,358","9,869"
