NAICS  Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018
4421,Furniture stores,"4,597","4,677","5,524","4,890","5,254","5,269","5,159","5,396","5,225","5,027","5,314","5,229"
4422,Home furnishings stores,"4,089","3,827","4,492","4,315","4,695","4,482","4,581","4,813","4,348","4,731","5,265","5,696"
44221,Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
442299,All other home furnishings stores,"2,272","2,029","2,383","2,201","2,412","2,239","2,362","2,528","2,268","2,417","3,151","3,815"
443,Electronics and appliance stores,"7,781","7,431","8,068","7,262","7,850","7,962","7,823","8,336","7,739","7,790","10,289","11,874"
443141,Household appliance stores,"1,199","1,192","1,382","1,283","1,464","1,443","1,424","1,475","1,303","1,370","1,487","1,355"
443142,Electronics stores,"6,582","6,239","6,686","5,979","6,386","6,519","6,399","6,861","6,436","6,420","8,802","10,519"
444,Building mat. and garden equip. and supplies dealers,"24,612","24,579","31,074","33,446","39,555","36,422","34,473","33,371","30,494","33,769","31,017","28,501"
4441,Building mat. and supplies dealers,"22,017","21,676","26,774","28,557","33,656","31,797","30,837","29,775","27,037","29,637","27,399","24,803"
44412,Paint and wallpaper stores,825,844,"1,022","1,044","1,183","1,204","1,177","1,223","1,060","1,160",944,819
44413,Hardware stores,"1,868","1,766","2,247","2,290","2,640","2,417","2,271","2,281","2,091","2,289","2,164","2,152"
445,Food and beverage stores,"60,093","56,201","63,479","59,295","64,229","62,469","63,083","63,306","60,841","62,150","63,097","67,493"
4451,Grocery stores,"54,471","50,561","56,897","53,212","57,377","55,626","56,217","56,496","54,381","55,444","55,933","58,482"
44511,Supermarkets and other grocery (except convenience) stores,"52,192","48,294","54,288","50,548","54,619","52,861","53,452","53,711","51,770","52,792","53,441","56,019"
4453,"Beer, wine, and liquor stores","3,991","3,992","4,670","4,362","4,950","4,990","5,011","4,945","4,650","4,789","5,176","6,442"
446,Health and personal care stores,"28,429","26,317","29,187","27,839","29,709","28,388","28,235","29,750","27,689","30,343","29,743","31,825"
44611,Pharmacies and drug stores,"24,280","22,007","24,075","23,242","24,848","23,329","23,581","24,762","22,930","25,608","24,553","25,631"
447,Gasoline stations,"37,539","35,554","40,672","41,052","45,760","45,128","45,502","46,290","43,022","45,599","40,753","37,054"
448,Clothing and clothing access. stores,"15,815","18,481","22,344","20,503","23,631","21,354","21,754","23,209","19,958","21,337","25,652","34,125"
4481,Clothing stores,"11,668","12,961","16,511","14,996","17,184","15,713","15,970","16,668","14,786","15,853","19,130","23,283"
44811,Men's clothing stores,528,556,689,737,775,696,588,637,691,679,742,890
44812,Women's clothing stores,"2,391","2,721","3,545","3,429","3,805","3,298","3,208","3,373","3,178","3,521","4,157","4,547"
44814,Family clothing stores,"6,361","7,104","9,138","8,112","9,597","8,802","9,163","9,552","8,294","9,022","10,967","13,674"
44819,Other clothing stores,"1,220","1,254","1,476","1,278","1,441","1,569","1,614","1,607","1,299","1,276","1,621","2,117"
4482,Shoe stores,"2,075","2,699","3,270","2,896","3,164","2,913","3,249","3,924","2,833","2,953","3,518","4,570"
44831,Jewelry stores,"1,873","2,601","2,321","2,375","3,004","2,487","2,301","2,388","2,125","2,315","2,744","5,836"
451,"Sporting goods, hobby, musical instrument, and book stores","6,000","5,693","7,065","6,328","6,782","6,800","6,358","7,352","6,100","6,050","7,300","9,351"
45111,Sporting goods stores,"2,770","3,026","3,789","3,533","3,781","4,058","3,844","4,064","3,129","3,198","3,677","4,988"
45112,"Hobby, toy, and game stores","1,180","1,222","1,708","1,344","1,428","1,249","1,039","1,091","1,172","1,274","1,990","2,135"
451211,Book stores,"1,217",641,659,631,699,638,611,"1,226",869,639,665,"1,122"
452,General merchandise stores,"50,450","50,670","58,974","53,747","60,250","58,050","57,346","60,048","54,906","57,721","66,253","77,883"
4521,Department stores,"9,025","9,587","11,400","10,514","11,976","11,129","10,948","12,047","10,351","10,979","14,546","19,076"
452111,Department stores(excl. discount department stores),"2,714","3,127","3,743","3,646","3,985","3,529","3,379","3,535","3,289","3,432","4,991","6,558"
452112,Discount dept. stores,"6,311","6,460","7,657","6,868","7,991","7,600","7,569","8,512","7,062","7,547","9,555","12,518"
4529,Other general merchandise stores,"41,425",41083,47574,"43,233","48,274","46,921","46,398","48,001","44,555","46,742","51,707","58,807"
45291,Warehouse clubs and superstores,"35,728","35,262","40,879","37,043","41,217","40,354","39,939","41,389","38,162","39,964","44,019","50,109"
45299,All other gen. merchandise stores,"5,697","5,821","6,695","6,190","7,057","6,567","6,459","6,612","6,393","6,778","7,688","8,698"
453,Miscellaneous store retailers,"9,588","9,380","10,493","10,234","12,217","11,283","10,651","11,337","10,329","11,573","11,287","11,758"
4532,"Office supplies, stationery, and gift stores","2,081","2,001","2,231","2,111","2,379","2,316","2,524","2,908","2,445","3,004","2,450","2,982"
45321,Office supplies and stationery stores,"1,082",902,968,874,890,825,951,"1,385",965,880,890,994
45322,"Gift, novelty, and souvenir stores",999,"1,099","1,263","1,237","1,489","1,491","1,573","1,523","1,480","2,124","1,560","1,988"
45330,Used merchandise stores,"1,439","1,496","1,692","1,555","1,626","1,535","1,442","1,604","1,471","1,666","1,641","1,641"
454,Nonstore retailers,"54,129","49,906","56,113","54,098","57,352","53,412","55,330","56,987","53,003","59,445","71,616","75,458"
4541,Electronic shopping and mail-order houses,"45,236","42,653","48,414","47,141","50,407","47,380","49,349","50,735","47,028","52,236","63,881","67,283"
45431,Fuel dealers,"4,977","3,258","3,069","2,413","1,889","1,545","1,606","1,729","1,732","2,499","2,936","3,392"
722,Food services and drinking places,"54,531","54,760","63,490","60,259","64,038","63,572","63,539","64,576","59,966","61,613","58,991","62,820"
7224,Drinking places,"2,160","2,136",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
7225,Restaurants and other eating places,"47,797","47,540","55,328","52,271","55,993","56,191","56,477","56,692","51,571","52,993","51,060","55,178"
722511,Full service restaurants,"23,746","23,700","27,357","25,609","27,405","27,383","27,218","27,338","24,652","25,184","24,306","27,585"
"722513, 722514, 722515",Limited service eating places,"24,051","23,840","27,971","26,662","28,588","28,808","29,259","29,354","26,919","27,809","26,754","27,593"
,,,,,,,,,,,,,
