NAICS  Code,Kind of Business,Jan. 2007,Feb. 2007,Mar. 2007,Apr. 2007,May 2007,Jun. 2007,Jul. 2007,Aug. 2007,Sep. 2007,Oct. 2007,Nov. 2007,Dec. 2007
4451,Grocery stores,"39,649","37,150","40,815","39,244","42,207","41,279","41,619","41,896","40,191","40,924","41,910","44,476"
44511,Supermarkets and other grocery (except convenience) stores,"37,883","35,480","38,930","37,337","40,144","39,257","39,563","39,847","38,278","39,006","40,058","42,581"
4453,"Beer, wine, and liquor stores","2,569","2,603","3,005","2,867","3,262","3,364","3,322","3,292","3,057","3,087","3,297","4,403"
446,Health and personal care stores,"19,598","18,431","20,224","19,259","20,181","19,542","19,375","20,154","18,864","20,208","19,639","21,689"
44611,Pharmacies and drug stores,"16,985","15,822","17,258","16,532","17,279","16,497","16,542","16,992","15,966","17,264","16,713","18,434"
447,Gasoline stations,"30,922","29,762","35,603","36,677","41,378","40,481","40,696","40,387","37,675","39,425","39,802","39,014"
448,Clothing and clothing access. stores,"13,927","15,077","18,045","17,096","18,474","17,289","16,883","18,850","16,765","17,614","20,550","30,635"
4481,Clothing stores,"10,335","10,531","13,563","12,757","13,423","12,806","12,537","13,737","12,564","13,209","15,317","20,843"
44811,Men's clothing stores,625,600,679,731,740,718,629,636,656,717,804,"1,237"
44812,Women's clothing stores,"2,639","2,694","3,499","3,531","3,760","3,412","2,770","3,205","3,177","3,306","3,598","4,703"
44814,Family clothing stores,"5,175","5,289","7,126","6,501","6,885","6,629","6,744","7,471","6,434","6,883","8,288","11,167"
44819,Other clothing stores,919,883,907,814,852,858,"1,104",913,913,982,"1,098","1,760"
4482,Shoe stores,"1,777","1,888","2,327","2,245","2,213","2,094","2,139","2,777","2,030","2,080","2,258","2,983"
44831,Jewelry stores,"1,699","2,521","1,999","1,954","2,678","2,226","2,052","2,178","2,025","2,175","2,792","6,521"
451,"Sporting goods, hobby, musical instrument, and book stores","6,223","5,052","6,189","5,637","6,227","6,555","6,333","7,750","6,351","5,973","7,384","11,235"
45111,Sporting goods stores,"2,200","2,171","2,969","2,737","3,087","3,380","3,165","3,378","2,712","2,570","2,939","4,496"
45112,"Hobby, toy, and game stores",948,974,"1,188","1,064","1,050","1,096","1,102","1,084","1,102","1,275","2,208","3,253"
451211,Book stores,"2,220","1,039","1,027",930,"1,134","1,161","1,220","2,327","1,578","1,129","1,227","2,179"
452,General merchandise stores,"40,930","40,959","46,408","45,014","47,879","47,122","45,847","48,371","43,958","46,285","54,310","71,499"
4521,Department stores,"14,119","14,441","16,534","16,091","16,924","16,307","15,653","17,283","15,254","16,354","20,878","29,554"
452111,Department stores(excl. discount department stores),"4,890","5,305","5,941","5,965","6,222","5,820","5,458","6,155","5,626","5,929","7,754","11,822"
452112,Discount dept. stores,"9,229","9,136","10,593","10,126","10,702","10,487","10,195","11,128","9,628","10,425","13,124","17,732"
4529,Other general merchandise stores,"26,811",26518,29874,"28,923","30,955","30,815","30,194","31,088","28,704","29,931","33,432","41,945"
45291,Warehouse clubs and superstores,"23,826","23,432","26,305","25,435","27,163","27,231","26,736","27,534","25,356","26,270","29,236","36,439"
45299,All other gen. merchandise stores,"2,985","3,086","3,569","3,488","3,792","3,584","3,458","3,554","3,348","3,661","4,196","5,506"
453,Miscellaneous store retailers,"8,713","8,496","9,416","8,850","10,624","10,325","9,597","10,151","9,442","9,828","9,703","11,273"
4532,"Office supplies, stationery, and gift stores","3,273","3,119","3,307","2,978","3,289","3,138","3,229","3,883","3,311","3,522","3,563","4,633"
45321,Office supplies and stationery stores,"2,173","1,900","1,985","1,709","1,746","1,669","1,784","2,421","1,948","1,845","1,880","2,144"
45322,"Gift, novelty, and souvenir stores","1,100","1,219","1,322","1,269","1,543","1,469","1,445","1,462","1,363","1,677","1,683","2,489"
45330,Used merchandise stores,804,873,"1,037",828,927,885,836,895,885,"1,007",944,"1,009"
454,Nonstore retailers,"25,438","24,352","25,727","23,529","24,347","23,146","23,423","24,888","23,498","26,932","29,497","33,990"
4541,Electronic shopping and mail-order houses,"17,540","16,118","18,040","16,927","18,053","17,211","17,617","18,523","17,206","19,574","21,583","25,289"
45431,Fuel dealers,"4,268","4,657","3,566","2,777","2,268","1,978","1,989","2,207","2,338","2,988","3,719","4,681"
722,Food services and drinking places,"33,593","33,097","38,225","36,554","38,311","38,450","38,539","38,825","36,791","37,608","35,954","38,604"
7224,Drinking places,"1,520","1,475","1,754","1,605","1,701","1,701","1,830","1,713","1,668","1,664","1,623","1,634"
7225,Restaurants and other eating places,"29,110","28,557","32,966","31,229","32,930","33,151","33,196","33,725","30,911","31,744","30,691","33,296"
722511,Full service restaurants,"15,272","15,043","17,176","16,159","16,816","16,860","16,720","17,025","15,599","15,926","15,555","17,354"
"722513, 722514, 722515",Limited service eating places,"13,838","13,514","15,790","15,070","16,114","16,291","16,476","16,700","15,312","15,818","15,136","15,942"
