NAICS  Code,Kind of Business,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016
451211,Book stores,"1,427",688,682,672,742,678,654,"1,499","1,040",690,720,"1,249"
452,General merchandise stores,"49,159","51,088","55,786","53,242","56,046","55,054","55,331","55,909","51,571","55,195","61,014","75,994"
4521,Department stores,"10,089","10,970","12,450","11,539","12,120","12,160","11,710","12,565","11,278","11,783","14,722","21,185"
452111,Department stores(excl. discount department stores),"3,262","3,846","4,427","4,208","4,368","4,220","3,981","4,053","4,037","4,059","5,398","8,839"
452112,Discount dept. stores,"6,827","7,124","8,023","7,331","7,752","7,940","7,729","8,512","7,241","7,724","9,324","12,346"
4529,Other general merchandise stores,"39,070",40118,43336,"41,703","43,926","42,894","43,621","43,344","40,293","43,412","46,292","54,809"
45291,Warehouse clubs and superstores,"34,023","34,580","37,226","35,968","37,758","36,815","37,679","37,468","34,506","37,361","39,792","46,750"
45299,All other gen. merchandise stores,"5,047","5,538","6,110","5,735","6,168","6,079","5,942","5,876","5,787","6,051","6,500","8,059"
453,Miscellaneous store retailers,"8,416","8,761","9,797","9,870","10,983","10,516","10,143","10,512","10,276","10,629","10,137","11,532"
4532,"Office supplies, stationery, and gift stores","2,236","2,203","2,331","2,324","2,457","2,327","2,446","2,891","2,544","2,780","2,343","3,362"
45321,Office supplies and stationery stores,"1,238","1,119","1,147","1,071","1,028",949,989,"1,489","1,203",992,968,"1,125"
45322,"Gift, novelty, and souvenir stores",998,"1,084","1,184","1,253","1,429","1,378","1,457","1,402","1,341","1,788","1,375","2,237"
45330,Used merchandise stores,"1,249","1,288","1,398","1,412","1,421","1,376","1,471","1,526","1,505","1,635","1,557","1,518"
454,Nonstore retailers,"41,372","41,517","45,166","42,936","44,616","44,384","42,580","45,608","44,491","45,377","54,696","68,669"
4541,Electronic shopping and mail-order houses,"34,622","34,872","38,728","37,143","38,723","38,640","37,441","40,230","38,939","39,486","48,591","61,425"
45431,Fuel dealers,"3,187","2,972","2,263","1,727","1,486","1,293","1,178","1,292","1,424","1,819","2,139","3,164"
722,Food services and drinking places,"50,087","51,495","55,878","56,336","57,015","54,609","56,000","55,169","54,270","55,691","53,253","57,425"
7224,Drinking places,"1,911","1,914","2,092","2,063","2,111","1,975","2,142","2,084","2,151","2,237","2,065","2,194"
7225,Restaurants and other eating places,"44,115","45,139","49,100","48,893","49,634","47,822","49,313","48,397","46,129","47,710","46,022","50,012"
722511,Full service restaurants,"22,614","23,107","24,543","24,478","24,535","23,190","23,896","23,300","22,362","23,288","22,359","25,426"
"722513, 722514, 722515",Limited service eating places,"21,501","22,032","24,557","24,415","25,099","24,632","25,417","25,097","23,767","24,422","23,663","24,586"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
