NAICS  Code,Kind of Business,Jan. 1994,Feb. 1994,Mar. 1994,Apr. 1994,May-94,Jun. 1994,Jul. 1994,Aug. 1994,Sep. 1994,Oct. 1994,Nov. 1994,Dec. 1994
45291,Warehouse clubs and superstores,"3,560","3,574","4,219","4,282","4,594","4,691","4,629","4,795","4,633","5,067","5,746","7,966"
45299,All other gen. merchandise stores,"1,858","1,931","2,265","2,237","2,323","2,326","2,187","2,282","2,202","2,351","2,652","3,875"
453,Miscellaneous store retailers,"4,342","4,691","5,145","5,105","6,071","5,901","5,828","6,339","6,066","5,769","5,948","8,252"
4532,"Office supplies, stationery, and gift stores","1,780","1,914","1,932","1,880","2,117","2,119","2,152","2,393","2,226","2,222","2,478","3,930"
45321,Office supplies and stationery stores,"1,102","1,040","1,040",974,"1,039","1,007",999,"1,249","1,185","1,081","1,171","1,348"
45322,"Gift, novelty, and souvenir stores",678,874,892,906,"1,078","1,112","1,153","1,144","1,041","1,141","1,307","2,582"
45330,Used merchandise stores,423,454,535,457,446,456,429,594,568,551,529,683
454,Nonstore retailers,"7,845","7,481","8,379","7,399","7,171","7,010","6,507","7,480","7,770","8,752","9,729","10,757"
4541,Electronic shopping and mail-order houses,"3,532","3,141","3,898","3,619","3,464","3,296","3,097","3,597","3,812","4,309","5,254","6,018"
45431,Fuel dealers,"2,419","2,185","1,893","1,253","1,162","1,101","1,054","1,204","1,286","1,472","1,631","2,040"
722,Food services and drinking places,"16,073","16,509","18,757","18,774","19,400","19,437","20,157","19,943","18,826","19,314","18,248","19,562"
7224,Drinking places,906,910,"1,025","1,026","1,014",977,990,989,960,981,962,"1,022"
7225,Restaurants and other eating places,"13,914","14,289","16,247","16,234","16,765","16,805","17,514","17,305","16,346","16,780","15,853","16,973"
722511,Full service restaurants,"6,968","7,243","8,140","8,106","8,325","8,254","8,649","8,622","8,044","8,227","7,788","8,317"
"722513, 722514, 722515",Limited service eating places,"6,946","7,046","8,107","8,128","8,440","8,551","8,865","8,683","8,302","8,553","8,065","8,656"
