NAICS  Code,Kind of Business,Jan. 1996,Feb. 1996,Mar. 1996,Apr. 1996,May-96,Jun. 1996,Jul. 1996,Aug. 1996,Sep. 1996,Oct. 1996,Nov. 1996,Dec. 1996
444,Building mat. and garden equip. and supplies dealers,"11,587","11,828","13,406","15,667","16,952","16,177","16,228","15,796","14,901","16,190","14,430","13,521"
4441,Building mat. and supplies dealers,"10,050","10,148","11,357","12,751","13,919","13,529","13,874","13,765","12,970","14,060","12,549","11,481"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413,Hardware stores,974,916,"1,025","1,247","1,364","1,303","1,238","1,182","1,079","1,183","1,172","1,224"
445,Food and beverage stores,"31,733","30,778","33,060","32,158","34,382","33,452","34,426","34,841","32,214","33,524","34,045","36,460"
4451,Grocery stores,"29,172","28,191","30,245","29,344","31,364","30,470","31,377","31,747","29,495","30,674","31,014","32,454"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453,"Beer, wine, and liquor stores","1,679","1,652","1,837","1,798","1,957","1,958","2,034","2,062","1,781","1,860","1,992","2,547"
446,Health and personal care stores,"8,401","8,510","8,964","8,904","9,366","8,818","9,079","9,182","8,611","9,288","9,132","11,302"
44611,Pharmacies and drug stores,"7,134","7,190","7,510","7,425","7,755","7,264","7,484","7,629","7,208","7,811","7,699","9,701"
447,Gasoline stations,"14,473","14,159","15,616","16,024","17,428","16,957","17,039","17,271","15,975","16,671","16,237","16,575"
448,Clothing and clothing access. stores,"7,684","8,991","10,349","10,570","11,405","10,554","10,202","12,134","10,623","11,250","12,875","19,944"
4481,Clothing stores,"5,325","6,050","7,189","7,278","7,648","7,277","7,000","8,304","7,495","8,024","9,114","13,008"
44811,Men's clothing stores,639,651,708,718,774,759,660,761,744,793,919,"1,420"
44812,Women's clothing stores,"1,565","1,834","2,193","2,346","2,552","2,375","2,072","2,353","2,276","2,413","2,594","3,665"
44814,Family clothing stores,"2,262","2,627","3,194","3,175","3,275","3,155","3,192","3,851","3,333","3,659","4,339","6,197"
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482,Shoe stores,"1,245","1,414","1,757","1,857","1,889","1,764","1,738","2,228","1,676","1,657","1,778","2,232"
44831,Jewelry stores,"1,036","1,428","1,306","1,347","1,755","1,397","1,366","1,466","1,323","1,451","1,830","4,464"
451,"Sporting goods, hobby, musical instrument, and book stores","4,140","3,521","4,102","4,096","4,042","4,286","4,166","4,989","4,334","4,340","5,208","8,847"
45111,Sporting goods stores,"1,327","1,309","1,649","1,702","1,773","1,895","1,833","1,992","1,594","1,453","1,608","2,675"
45112,"Hobby, toy, and game stores",705,737,890,862,669,849,877,874,870,"1,094","2,002","4,073"
451211,Book stores,"1,373",757,743,750,853,838,786,"1,359","1,040",899,908,"1,599"
452,General merchandise stores,"18,968","20,786","23,572","23,755","26,154","25,149","24,073","26,711","24,163","26,366","31,144","44,464"
4521,Department stores,"12,299","13,768","15,808","15,957","17,454","16,655","15,768","17,932","16,092","17,462","21,389","31,619"
452111,Department stores(excl. discount department stores),"4,982","5,810","6,783","6,754","7,289","6,797","6,469","7,806","7,092","7,615","9,591","15,184"
452112,Discount dept. stores,"7,317","7,958","9,025","9,203","10,165","9,858","9,299","10,126","9,000","9,847","11,798","16,435"
4529,Other general merchandise stores,"6,669",7018,7764,"7,798","8,700","8,494","8,305","8,779","8,071","8,904","9,755","12,845"
45291,Warehouse clubs and superstores,"4,758","4,915","5,432","5,474","6,125","6,027","5,913","6,244","5,808","6,371","6,993","9,019"
45299,All other gen. merchandise stores,"1,911","2,103","2,332","2,324","2,575","2,467","2,392","2,535","2,263","2,533","2,762","3,826"
453,Miscellaneous store retailers,"5,367","5,945","5,950","6,509","7,520","7,041","7,082","7,244","6,729","7,017","7,036","9,379"
4532,"Office supplies, stationery, and gift stores","2,127","2,270","2,084","2,133","2,439","2,220","2,517","2,729","2,416","2,556","2,918","4,480"
45321,Office supplies and stationery stores,"1,371","1,297","1,184","1,131","1,235","1,105","1,256","1,436","1,314","1,332","1,337","1,594"
45322,"Gift, novelty, and souvenir stores",756,973,900,"1,002","1,204","1,115","1,261","1,293","1,102","1,224","1,581","2,886"
45330,Used merchandise stores,481,481,578,598,744,618,591,611,588,631,630,705
454,Nonstore retailers,"9,546","9,417","9,777","9,182","8,881","8,118","8,210","8,470","9,228","11,008","12,024","13,900"
4541,Electronic shopping and mail-order houses,"4,549","4,226","4,703","4,566","4,563","4,250","4,442","4,586","4,875","5,816","6,676","7,854"
45431,Fuel dealers,"2,865","2,569","2,223","1,731","1,458","1,191","1,237","1,286","1,447","1,853","2,053","2,650"
722,Food services and drinking places,"17,647","18,439","20,259","19,832","21,139","20,669","20,971","21,792","19,826","20,736","20,332","20,603"
7224,Drinking places,993,"1,026","1,114","1,050","1,094","1,069","1,096","1,137","1,053","1,100","1,101","1,116"
7225,Restaurants and other eating places,"15,338","15,979","17,563","17,200","18,344","17,985","18,279","18,964","17,161","17,940","17,583","17,813"
722511,Full service restaurants,"7,503","7,911","8,650","8,469","8,941","8,682","8,944","9,513","8,642","8,998","8,972","8,888"
"722513, 722514, 722515",Limited service eating places,"7,835","8,068","8,913","8,731","9,403","9,303","9,335","9,451","8,519","8,942","8,611","8,925"
