NAICS  Code,Kind of Business,Jan. 1999,Feb. 1999,Mar. 1999,Apr. 1999,May-99,Jun. 1999,Jul. 1999,Aug. 1999,Sep. 1999,Oct. 1999,Nov. 1999,Dec. 1999
45111,Sporting goods stores,"1,485","1,469","1,827","1,888","1,993","2,215","2,062","2,143","1,847","1,711","1,832","3,227"
45112,"Hobby, toy, and game stores",933,966,"1,135","1,076","1,061","1,101","1,083","1,101","1,111","1,277","2,096","3,711"
451211,Book stores,"1,514",990,976,933,976,"1,031","1,023","1,386","1,240","1,019","1,088","1,996"
452,General merchandise stores,"24,585","25,109","29,278","28,895","31,201","30,329","29,811","30,955","29,382","31,357","36,231","53,046"
4521,Department stores,"14,480","15,239","17,851","17,704","18,935","17,955","17,549","18,510","17,383","18,513","22,213","33,972"
452111,Department stores(excl. discount department stores),"5,647","6,197","7,401","7,290","7,746","7,178","7,012","7,697","7,300","7,749","9,560","15,875"
452112,Discount dept. stores,"8,833","9,042","10,450","10,414","11,189","10,777","10,537","10,813","10,083","10,764","12,653","18,097"
4529,Other general merchandise stores,"10,105",9870,11427,"11,191","12,266","12,374","12,262","12,445","11,999","12,844","14,018","19,074"
45291,Warehouse clubs and superstores,"8,081","7,758","8,990","8,799","9,708","9,839","9,768","9,944","9,585","10,214","11,120","15,003"
45299,All other gen. merchandise stores,"2,024","2,112","2,437","2,392","2,558","2,535","2,494","2,501","2,414","2,630","2,898","4,071"
453,Miscellaneous store retailers,"7,392","7,934","8,380","8,227","8,509","8,544","8,240","8,606","8,420","8,426","9,190","12,350"
4532,"Office supplies, stationery, and gift stores","3,112","3,055","3,169","2,943","2,899","2,938","2,850","3,308","3,228","3,259","3,694","5,551"
45321,Office supplies and stationery stores,"2,018","1,812","1,815","1,649","1,571","1,611","1,517","1,966","1,965","1,772","1,796","2,108"
45322,"Gift, novelty, and souvenir stores","1,094","1,243","1,354","1,294","1,328","1,327","1,333","1,342","1,263","1,487","1,898","3,443"
45330,Used merchandise stores,639,783,782,731,724,759,749,784,722,848,804,"1,052"
454,Nonstore retailers,"11,463","11,018","12,876","11,835","11,382","11,574","11,104","11,918","12,683","13,431","14,895","17,618"
4541,Electronic shopping and mail-order houses,"6,491","6,391","7,595","7,128","6,925","7,222","6,964","7,514","8,033","8,552","9,604","11,863"
45431,Fuel dealers,"2,256","1,798","2,011","1,495","1,303","1,222","1,186","1,275","1,420","1,682","1,821","2,443"
722,Food services and drinking places,"21,316","21,199","23,320","23,674","24,651","24,088","25,059","24,611","23,240","24,847","23,249","24,646"
7224,Drinking places,"1,102","1,140","1,291","1,247","1,207","1,196","1,256","1,205","1,177","1,263","1,185","1,261"
7225,Restaurants and other eating places,"18,497","18,325","20,112","20,462","21,272","20,725","21,695","21,274","19,977","21,373","19,960","21,089"
722511,Full service restaurants,"9,535","9,467","10,334","10,520","10,740","10,503","11,031","10,888","10,250","11,004","10,182","10,654"
"722513, 722514, 722515",Limited service eating places,"8,962","8,858","9,778","9,942","10,532","10,222","10,664","10,386","9,727","10,369","9,778","10,435"
