NAICS  Code,Kind of Business,Jan. 1992,Feb. 1992,Mar. 1992,Apr. 1992,May-92,Jun. 1992,Jul. 1992,Aug. 1992,Sep. 1992,Oct. 1992,Nov. 1992,Dec. 1992
445,Food and beverage stores,"29,589","28,570","29,682","30,228","31,677","30,769","32,402","31,469","30,162","31,407","30,388","34,170"
4451,Grocery stores,"27,306","26,223","27,235","27,588","28,883","28,039","29,479","28,645","27,475","28,583","27,620","30,294"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453,"Beer, wine, and liquor stores","1,509","1,541","1,597","1,675","1,822","1,775","1,912","1,862","1,770","1,882","1,831","2,511"
446,Health and personal care stores,"7,258","7,150","7,413","7,531","7,488","7,387","7,277","7,313","7,071","7,467","7,115","9,235"
44611,Pharmacies and drug stores,"6,358","6,284","6,420","6,573","6,491","6,342","6,236","6,280","6,074","6,439","6,175","8,119"
447,Gasoline stations,"12,099","11,580","12,272","12,443","13,449","13,427","13,874","13,825","13,140","13,663","13,064","13,488"
448,Clothing and clothing access. stores,"6,938","7,524","8,475","9,401","9,558","9,182","9,103","10,513","9,573","10,254","11,187","18,395"
4481,Clothing stores,"4,852","5,159","6,024","6,682","6,768","6,534","6,551","7,486","6,878","7,514","8,201","12,721"
44811,Men's clothing stores,701,658,731,816,856,853,714,777,762,841,913,"1,557"
44812,Women's clothing stores,"1,873","1,991","2,403","2,665","2,752","2,424","2,373","2,657","2,560","2,755","2,946","4,416"
44814,Family clothing stores,"1,649","1,864","2,152","2,438","2,412","2,516","2,653","3,046","2,687","2,993","3,399","5,337"
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482,Shoe stores,"1,206","1,265","1,463","1,675","1,560","1,498","1,449","1,838","1,578","1,529","1,516","2,039"
44831,Jewelry stores,796,"1,021",912,969,"1,171","1,094","1,037","1,089","1,034","1,122","1,364","3,436"
451,"Sporting goods, hobby, musical instrument, and book stores","3,023","2,806","3,040","3,150","3,175","3,240","3,224","3,586","3,409","3,329","3,851","7,133"
45111,Sporting goods stores,972,"1,100","1,214","1,267","1,293","1,334","1,340","1,377","1,206","1,120","1,207","2,153"
45112,"Hobby, toy, and game stores",620,585,643,706,660,721,678,653,638,789,"1,332","3,226"
451211,Book stores,790,539,535,523,552,589,592,894,861,645,642,"1,165"
452,General merchandise stores,"14,996","16,015","17,984","18,872","20,037","18,812","18,575","20,518","18,700","20,970","25,024","37,373"
4521,Department stores,"10,306","11,251","12,917","13,461","14,286","13,354","13,101","14,783","13,323","14,961","18,128","27,218"
452111,Department stores(excl. discount department stores),"4,818","5,347","6,262","6,417","6,636","6,163","6,025","7,145","6,461","7,082","8,996","13,801"
452112,Discount dept. stores,"5,488","5,904","6,655","7,044","7,650","7,191","7,076","7,638","6,862","7,879","9,132","13,417"
4529,Other general merchandise stores,"4,690",4764,5067,"5,411","5,751","5,458","5,474","5,735","5,377","6,009","6,896","10,155"
45291,Warehouse clubs and superstores,"2,579","2,615","2,838","2,984","3,257","3,107","3,097","3,288","3,078","3,429","4,013","5,740"
45299,All other gen. merchandise stores,"2,111","2,149","2,229","2,427","2,494","2,351","2,377","2,447","2,299","2,580","2,883","4,415"
453,Miscellaneous store retailers,"3,642","3,902","3,755","4,148","4,600","4,518","4,488","4,504","4,454","4,768","4,848","7,213"
4532,"Office supplies, stationery, and gift stores","1,446","1,477","1,406","1,457","1,597","1,611","1,717","1,762","1,669","1,832","2,054","3,388"
45321,Office supplies and stationery stores,788,679,692,656,697,725,775,811,795,820,803,943
45322,"Gift, novelty, and souvenir stores",658,798,714,801,900,886,942,951,874,"1,012","1,251","2,445"
45330,Used merchandise stores,371,402,419,393,435,519,443,532,523,483,465,582
454,Nonstore retailers,"6,860","6,059","6,297","6,022","5,803","5,761","5,834","5,830","6,334","7,275","7,725","8,701"
4541,Electronic shopping and mail-order houses,"2,692","2,285","2,484","2,506","2,483","2,602","2,665","2,673","2,932","3,436","3,922","4,530"
45431,Fuel dealers,"1,916","1,627","1,537","1,341","1,163","1,016",969,"1,005","1,150","1,431","1,532","1,978"
722,Food services and drinking places,"15,693","15,835","16,848","16,494","17,648","16,814","17,304","17,888","16,459","17,668","16,723","17,491"
7224,Drinking places,"1,049","1,026","1,074","1,031","1,047",986,"1,015","1,021",958,"1,041",999,"1,034"
7225,Restaurants and other eating places,"13,325","13,474","14,346","14,065","15,077","14,384","14,875","15,381","14,086","15,138","14,323","14,994"
722511,Full service restaurants,"6,887","6,937","7,245","7,000","7,532","6,997","7,272","7,535","6,921","7,439","7,114","7,329"
"722513, 722514, 722515",Limited service eating places,"6,438","6,537","7,101","7,065","7,545","7,387","7,603","7,846","7,165","7,699","7,209","7,665"
