NAICS  Code,Kind of Business,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May-97,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997
44413,Hardware stores,997,875,"1,020","1,196","1,332","1,296","1,271","1,220","1,171","1,245","1,141","1,188"
445,Food and beverage stores,"33,175","30,538","34,446","32,637","35,522","33,570","35,396","35,191","33,039","34,401","34,128","37,330"
4451,Grocery stores,"30,534","27,985","31,513","29,853","32,412","30,527","32,232","32,032","30,142","31,319","31,032","32,989"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453,"Beer, wine, and liquor stores","1,706","1,621","1,853","1,817","2,060","2,002","2,098","2,079","1,892","2,050","2,082","2,821"
446,Health and personal care stores,"9,306","9,022","9,962","9,482","9,965","9,728","9,860","9,769","9,603","10,028","9,716","12,231"
44611,Pharmacies and drug stores,"7,889","7,615","8,330","7,885","8,300","7,968","8,065","7,997","7,930","8,309","8,146","10,389"
447,Gasoline stations,"15,956","14,912","16,562","16,364","17,316","17,049","17,478","17,733","16,791","17,162","16,006","16,371"
448,Clothing and clothing access. stores,"8,194","8,835","10,840","10,131","11,505","10,654","10,734","12,461","10,942","11,635","13,244","21,118"
4481,Clothing stores,"5,785","5,902","7,640","7,110","7,916","7,444","7,540","8,802","7,797","8,436","9,522","13,828"
44811,Men's clothing stores,697,633,746,716,809,793,737,846,761,870,987,"1,474"
44812,Women's clothing stores,"1,699","1,813","2,353","2,227","2,429","2,199","2,103","2,334","2,265","2,358","2,486","3,556"
44814,Family clothing stores,"2,487","2,542","3,396","3,144","3,539","3,404","3,588","4,202","3,558","3,973","4,708","6,702"
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482,Shoe stores,"1,279","1,429","1,902","1,663","1,888","1,770","1,773","2,200","1,702","1,689","1,778","2,377"
44831,Jewelry stores,"1,034","1,400","1,175","1,258","1,585","1,330","1,313","1,348","1,334","1,395","1,799","4,658"
451,"Sporting goods, hobby, musical instrument, and book stores","4,311","3,588","4,209","4,177","4,372","4,456","4,298","4,949","4,547","4,463","5,411","8,911"
45111,Sporting goods stores,"1,337","1,331","1,609","1,726","1,788","1,970","1,838","1,955","1,595","1,521","1,651","2,846"
45112,"Hobby, toy, and game stores",730,791,"1,032",896,947,940,963,958,971,"1,141","2,009","3,643"
451211,Book stores,"1,558",825,813,806,894,875,830,"1,301","1,158",923,994,"1,765"
452,General merchandise stores,"21,164","21,560","25,681","24,490","27,443","26,328","25,897","28,066","24,928","27,906","32,529","45,371"
4521,Department stores,"13,463","14,077","17,084","16,180","18,118","17,259","16,673","18,633","16,229","18,259","22,114","32,019"
452111,Department stores(excl. discount department stores),"5,528","5,880","7,143","6,714","7,475","6,974","6,742","7,924","6,984","7,840","9,708","15,073"
452112,Discount dept. stores,"7,935","8,197","9,941","9,466","10,643","10,285","9,931","10,709","9,245","10,419","12,406","16,946"
4529,Other general merchandise stores,"7,701",7483,8597,"8,310","9,325","9,069","9,224","9,433","8,699","9,647","10,415","13,352"
45291,Warehouse clubs and superstores,"5,696","5,434","6,243","6,104","6,852","6,697","6,817","6,947","6,448","7,186","7,734","9,761"
45299,All other gen. merchandise stores,"2,005","2,049","2,354","2,206","2,473","2,372","2,407","2,486","2,251","2,461","2,681","3,591"
453,Miscellaneous store retailers,"6,415","6,829","6,975","7,035","7,465","7,464","7,526","7,661","7,565","7,614","7,406","10,277"
4532,"Office supplies, stationery, and gift stores","2,620","2,632","2,596","2,490","2,513","2,422","2,538","2,811","2,690","2,841","2,908","4,606"
45321,Office supplies and stationery stores,"1,686","1,448","1,394","1,345","1,291","1,234","1,330","1,551","1,529","1,526","1,310","1,690"
45322,"Gift, novelty, and souvenir stores",934,"1,184","1,202","1,145","1,222","1,188","1,208","1,260","1,161","1,315","1,598","2,916"
45330,Used merchandise stores,621,687,620,559,558,584,667,674,691,766,740,891
454,Nonstore retailers,"10,532","9,813","10,607","10,064","9,695","9,396","9,495","9,104","10,278","11,506","11,852","13,848"
4541,Electronic shopping and mail-order houses,"5,042","4,577","5,594","5,491","5,304","5,204","5,198","5,165","6,080","6,693","7,029","8,690"
45431,Fuel dealers,"3,016","2,311","1,996","1,706","1,461","1,256","1,273","1,352","1,452","1,752","1,920","2,446"
722,Food services and drinking places,"19,316","19,128","21,383","21,110","22,674","21,874","22,665","23,300","21,392","22,106","20,751","21,665"
7224,Drinking places,"1,051","1,000","1,102","1,094","1,143","1,094","1,175","1,212","1,109","1,185","1,102","1,112"
7225,Restaurants and other eating places,"16,718","16,625","18,627","18,361","19,759","18,986","19,737","20,287","18,434","19,081","17,940","18,753"
722511,Full service restaurants,"8,658","8,610","9,559","9,301","9,942","9,428","10,036","10,481","9,505","9,813","9,192","9,661"
"722513, 722514, 722515",Limited service eating places,"8,060","8,015","9,068","9,060","9,817","9,558","9,701","9,806","8,929","9,268","8,748","9,092"
