sales_month,naics_code,kind_of_business,reason_for_null,sales
"1992-02-01","443141","Household appliance stores",,576
"1992-02-01","443142","Electronics stores","Not Available",
"1992-02-01","444","Building mat. and garden equip. and supplies dealers",,9023
"1992-02-01","4441","Building mat. and supplies dealers",,7567
"1992-02-01","44412","Paint and wallpaper stores","Not Available",
"1992-02-01","44413","Hardware stores",,818
"1992-02-01","445","Food and beverage stores",,28570
"1992-02-01","4451","Grocery stores",,26223
"1992-02-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-02-01","4453","Beer, wine, and liquor stores",,1541
"1992-02-01","446","Health and personal care stores",,7150
"1992-02-01","44611","Pharmacies and drug stores",,6284
"1992-02-01","447","Gasoline stations",,11580
"1992-02-01","448","Clothing and clothing access. stores",,7524
"1992-02-01","4481","Clothing stores",,5159
"1992-02-01","44811","Men's clothing stores",,658
"1992-02-01","44812","Women's clothing stores",,1991
"1992-02-01","44814","Family clothing stores",,1864
"1992-02-01","44819","Other clothing stores","Not Available",
"1992-02-01","4482","Shoe stores",,1265
"1992-02-01","44831","Jewelry stores",,1021
"1992-02-01","451","Sporting goods, hobby, musical instrument, and book stores",,2806
"1992-02-01","45111","Sporting goods stores",,1100
"1992-02-01","45112","Hobby, toy, and game stores",,585
"1992-02-01","451211","Book stores",,539
"1992-02-01","452","General merchandise stores",,16015
"1992-02-01","4521","Department stores",,11251
"1992-02-01","452111","Department stores(excl. discount department stores)",,5347
"1992-02-01","452112","Discount dept. stores",,5904
"1992-02-01","4529","Other general merchandise stores",,4764
"1992-02-01","45291","Warehouse clubs and superstores",,2615
"1992-02-01","45299","All other gen. merchandise stores",,2149
"1992-02-01","453","Miscellaneous store retailers",,3902
"1992-02-01","4532","Office supplies, stationery, and gift stores",,1477
"1992-02-01","45321","Office supplies and stationery stores",,679
"1992-02-01","45322","Gift, novelty, and souvenir stores",,798
"1992-02-01","45330","Used merchandise stores",,402
"1992-02-01","454","Nonstore retailers",,6059
"1992-02-01","4541","Electronic shopping and mail-order houses",,2285
"1992-02-01","45431","Fuel dealers",,1627
"1992-02-01","722","Food services and drinking places",,15835
"1992-02-01","7224","Drinking places",,1026
"1992-02-01","7225","Restaurants and other eating places",,13474
"1992-02-01","722511","Full service restaurants",,6937
"1992-02-01","722513, 722514, 722515","Limited service eating places",,6537
"1992-02-01",,"Retail sales, total",,131244
"1992-02-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,104282
"1992-02-01",,"Retail and food services sales, total",,147079
"1992-02-01",,"Retail sales and food services excl gasoline stations",,135499
"1992-02-01",,"GAFO(1)",,35220
"1992-02-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,100027
"1992-02-01",,"Retail sales and food services excl motor vehicle and parts",,115862
"1992-03-01","441","Motor vehicle and parts dealers",,35136
"1992-03-01","4411","Automobile dealers",,30195
"1992-03-01","4411, 4412","Automobile and other motor vehicle dealers",,31684
"1992-03-01","44111","New car dealers",,28018
"1992-03-01","44112","Used car dealers",,2177
"1992-03-01","4413","Automotive parts, acc., and tire stores",,3452
"1992-03-01","442","Furniture and home furnishings stores",,4157
"1992-03-01","442, 443","Furniture, home furn, electronics, and appliance stores",,7826
"1992-03-01","4421","Furniture stores",,2607
"1992-03-01","4422","Home furnishings stores",,1550
"1992-03-01","44221","Floor covering stores",,851
"1992-03-01","442299","All other home furnishings stores","Not Available",
"1992-03-01","443","Electronics and appliance stores",,3669
"1992-03-01","443141","Household appliance stores",,631
"1992-03-01","443142","Electronics stores","Not Available",
"1992-03-01","444","Building mat. and garden equip. and supplies dealers",,10608
"1992-03-01","4441","Building mat. and supplies dealers",,8718
"1992-03-01","44412","Paint and wallpaper stores","Not Available",
"1992-03-01","44413","Hardware stores",,958
"1992-03-01","445","Food and beverage stores",,29682
"1992-03-01","4451","Grocery stores",,27235
"1992-03-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-03-01","4453","Beer, wine, and liquor stores",,1597
"1992-03-01","446","Health and personal care stores",,7413
"1992-03-01","44611","Pharmacies and drug stores",,6420
"1992-03-01","447","Gasoline stations",,12272
"1992-03-01","448","Clothing and clothing access. stores",,8475
"1992-03-01","4481","Clothing stores",,6024
"1992-03-01","44811","Men's clothing stores",,731
"1992-03-01","44812","Women's clothing stores",,2403
"1992-03-01","44814","Family clothing stores",,2152
"1992-03-01","44819","Other clothing stores","Not Available",
"1992-03-01","4482","Shoe stores",,1463
"1992-03-01","44831","Jewelry stores",,912
"1992-03-01","451","Sporting goods, hobby, musical instrument, and book stores",,3040
"1992-03-01","45111","Sporting goods stores",,1214
"1992-03-01","45112","Hobby, toy, and game stores",,643
"1992-03-01","451211","Book stores",,535
"1992-03-01","452","General merchandise stores",,17984
"1992-03-01","4521","Department stores",,12917
"1992-03-01","452111","Department stores(excl. discount department stores)",,6262
"1992-03-01","452112","Discount dept. stores",,6655
"1992-03-01","4529","Other general merchandise stores",,5067
"1992-03-01","45291","Warehouse clubs and superstores",,2838
"1992-03-01","45299","All other gen. merchandise stores",,2229
"1992-03-01","453","Miscellaneous store retailers",,3755
"1992-03-01","4532","Office supplies, stationery, and gift stores",,1406
"1992-03-01","45321","Office supplies and stationery stores",,692
"1992-03-01","45322","Gift, novelty, and souvenir stores",,714
"1992-03-01","45330","Used merchandise stores",,419
"1992-03-01","454","Nonstore retailers",,6297
"1992-03-01","4541","Electronic shopping and mail-order houses",,2484
"1992-03-01","45431","Fuel dealers",,1537
"1992-03-01","722","Food services and drinking places",,16848
"1992-03-01","7224","Drinking places",,1074
"1992-03-01","7225","Restaurants and other eating places",,14346
"1992-03-01","722511","Full service restaurants",,7245
"1992-03-01","722513, 722514, 722515","Limited service eating places",,7101
"1992-03-01",,"Retail sales and food services excl gasoline stations",,147064
"1992-03-01",,"GAFO(1)",,38731
"1992-03-01",,"Retail and food services sales, total",,159336
"1992-03-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,107352
"1992-03-01",,"Retail sales, total",,142488
"1992-03-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,111928
"1992-03-01",,"Retail sales and food services excl motor vehicle and parts",,124200
"1992-04-01","441","Motor vehicle and parts dealers",,36082
"1992-04-01","4411","Automobile dealers",,30583
"1992-04-01","4411, 4412","Automobile and other motor vehicle dealers",,32547
"1992-04-01","44111","New car dealers",,27982
"1992-04-01","44112","Used car dealers",,2601
"1992-04-01","4413","Automotive parts, acc., and tire stores",,3535
"1992-04-01","442","Furniture and home furnishings stores",,4141
"1992-04-01","442, 443","Furniture, home furn, electronics, and appliance stores",,7668
"1992-04-01","4421","Furniture stores",,2525
"1992-04-01","4422","Home furnishings stores",,1616
"1992-04-01","44221","Floor covering stores",,899
"1992-04-01","442299","All other home furnishings stores","Not Available",
"1992-04-01","443","Electronics and appliance stores",,3527
"1992-04-01","443141","Household appliance stores",,643
"1992-04-01","443142","Electronics stores","Not Available",
"1992-04-01","444","Building mat. and garden equip. and supplies dealers",,11630
"1992-04-01","4441","Building mat. and supplies dealers",,9330
"1992-04-01","44412","Paint and wallpaper stores","Not Available",
"1992-04-01","44413","Hardware stores",,1073
"1992-04-01","445","Food and beverage stores",,30228
"1992-04-01","4451","Grocery stores",,27588
"1992-04-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-04-01","4453","Beer, wine, and liquor stores",,1675
"1992-04-01","446","Health and personal care stores",,7531
"1992-04-01","44611","Pharmacies and drug stores",,6573
"1992-04-01","447","Gasoline stations",,12443
"1992-04-01","448","Clothing and clothing access. stores",,9401
"1992-04-01","4481","Clothing stores",,6682
"1992-04-01","44811","Men's clothing stores",,816
"1992-04-01","44812","Women's clothing stores",,2665
"1992-04-01","44814","Family clothing stores",,2438
"1992-04-01","44819","Other clothing stores","Not Available",
"1992-04-01","4482","Shoe stores",,1675
"1992-04-01","44831","Jewelry stores",,969
"1992-04-01","451","Sporting goods, hobby, musical instrument, and book stores",,3150
"1992-04-01","45111","Sporting goods stores",,1267
"1992-04-01","45112","Hobby, toy, and game stores",,706
"1992-04-01","451211","Book stores",,523
"1992-04-01","452","General merchandise stores",,18872
"1992-04-01","4521","Department stores",,13461
"1992-04-01","452111","Department stores(excl. discount department stores)",,6417
"1992-04-01","452112","Discount dept. stores",,7044
"1992-04-01","4529","Other general merchandise stores",,5411
"1992-04-01","45291","Warehouse clubs and superstores",,2984
"1992-04-01","45299","All other gen. merchandise stores",,2427
"1992-04-01","453","Miscellaneous store retailers",,4148
"1992-04-01","4532","Office supplies, stationery, and gift stores",,1457
"1992-04-01","45321","Office supplies and stationery stores",,656
"1992-04-01","45322","Gift, novelty, and souvenir stores",,801
"1992-04-01","45330","Used merchandise stores",,393
"1992-04-01","454","Nonstore retailers",,6022
"1992-04-01","4541","Electronic shopping and mail-order houses",,2506
"1992-04-01","45431","Fuel dealers",,1341
"1992-04-01","722","Food services and drinking places",,16494
"1992-04-01","7224","Drinking places",,1031
"1992-04-01","7225","Restaurants and other eating places",,14065
"1992-04-01","722511","Full service restaurants",,7000
"1992-04-01","722513, 722514, 722515","Limited service eating places",,7065
"1992-04-01",,"Retail sales and food services excl motor vehicle and parts",,127587
"1992-04-01",,"Retail sales, total",,147175
"1992-04-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,115144
"1992-04-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,111093
"1992-04-01",,"Retail sales and food services excl gasoline stations",,151226
"1992-04-01",,"GAFO(1)",,40548
"1992-04-01",,"Retail and food services sales, total",,163669
"1992-05-01","441","Motor vehicle and parts dealers",,36460
"1992-05-01","4411","Automobile dealers",,31095
"1992-05-01","4411, 4412","Automobile and other motor vehicle dealers",,32883
"1992-05-01","44111","New car dealers",,28924
"1992-05-01","44112","Used car dealers",,2171
"1992-05-01","4413","Automotive parts, acc., and tire stores",,3577
"1992-05-01","442","Furniture and home furnishings stores",,4275
"1992-05-01","442, 443","Furniture, home furn, electronics, and appliance stores",,7846
"1992-05-01","4421","Furniture stores",,2605
"1992-05-01","4422","Home furnishings stores",,1670
"1992-05-01","44221","Floor covering stores",,856
"1992-05-01","442299","All other home furnishings stores","Not Available",
"1992-05-01","443","Electronics and appliance stores",,3571
"1992-05-01","443141","Household appliance stores",,662
"1992-05-01","443142","Electronics stores","Not Available",
"1992-05-01","444","Building mat. and garden equip. and supplies dealers",,12327
"1992-05-01","4441","Building mat. and supplies dealers",,9731
"1992-05-01","44412","Paint and wallpaper stores","Not Available",
"1992-05-01","44413","Hardware stores",,1232
"1992-05-01","445","Food and beverage stores",,31677
"1992-05-01","4451","Grocery stores",,28883
"1992-05-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-05-01","4453","Beer, wine, and liquor stores",,1822
"1992-05-01","446","Health and personal care stores",,7488
"1992-05-01","44611","Pharmacies and drug stores",,6491
"1992-05-01","447","Gasoline stations",,13449
"1992-05-01","448","Clothing and clothing access. stores",,9558
"1992-05-01","4481","Clothing stores",,6768
"1992-05-01","44811","Men's clothing stores",,856
"1992-05-01","44812","Women's clothing stores",,2752
"1992-05-01","44814","Family clothing stores",,2412
"1992-05-01","44819","Other clothing stores","Not Available",
"1992-05-01","4482","Shoe stores",,1560
"1992-05-01","44831","Jewelry stores",,1171
"1992-05-01","451","Sporting goods, hobby, musical instrument, and book stores",,3175
"1992-05-01","45111","Sporting goods stores",,1293
"1992-05-01","45112","Hobby, toy, and game stores",,660
"1992-05-01","451211","Book stores",,552
"1992-05-01","452","General merchandise stores",,20037
"1992-05-01","4521","Department stores",,14286
"1992-05-01","452111","Department stores(excl. discount department stores)",,6636
"1992-05-01","452112","Discount dept. stores",,7650
"1992-05-01","4529","Other general merchandise stores",,5751
"1992-05-01","45291","Warehouse clubs and superstores",,3257
"1992-05-01","45299","All other gen. merchandise stores",,2494
"1992-05-01","453","Miscellaneous store retailers",,4600
"1992-05-01","4532","Office supplies, stationery, and gift stores",,1597
"1992-05-01","45321","Office supplies and stationery stores",,697
"1992-05-01","45322","Gift, novelty, and souvenir stores",,900
"1992-05-01","45330","Used merchandise stores",,435
"1992-05-01","454","Nonstore retailers",,5803
"1992-05-01","4541","Electronic shopping and mail-order houses",,2483
"1992-05-01","45431","Fuel dealers",,1163
"1992-05-01","722","Food services and drinking places",,17648
"1992-05-01","7224","Drinking places",,1047
"1992-05-01","7225","Restaurants and other eating places",,15077
"1992-05-01","722511","Full service restaurants",,7532
"1992-05-01","722513, 722514, 722515","Limited service eating places",,7545
"1992-05-01",,"Retail sales and food services excl motor vehicle and parts",,133608
"1992-05-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,120159
"1992-05-01",,"GAFO(1)",,42213
"1992-05-01",,"Retail sales, total",,152420
"1992-05-01",,"Retail and food services sales, total",,170068
"1992-05-01",,"Retail sales and food services excl gasoline stations",,156619
"1992-05-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,115960
"1992-06-01","441","Motor vehicle and parts dealers",,38389
"1992-06-01","4411","Automobile dealers",,32798
"1992-06-01","4411, 4412","Automobile and other motor vehicle dealers",,34667
"1992-06-01","44111","New car dealers",,30591
"1992-06-01","44112","Used car dealers",,2207
"1992-06-01","4413","Automotive parts, acc., and tire stores",,3722
"1992-06-01","442","Furniture and home furnishings stores",,4357
"1992-06-01","442, 443","Furniture, home furn, electronics, and appliance stores",,8145
"1992-06-01","4421","Furniture stores",,2604
"1992-06-01","4422","Home furnishings stores",,1753
"1992-06-01","44221","Floor covering stores",,950
"1992-06-01","442299","All other home furnishings stores","Not Available",
"1992-06-01","443","Electronics and appliance stores",,3788
"1992-06-01","443141","Household appliance stores",,746
"1992-06-01","443142","Electronics stores","Not Available",
"1992-06-01","444","Building mat. and garden equip. and supplies dealers",,12219
"1992-06-01","4441","Building mat. and supplies dealers",,10178
"1992-06-01","44412","Paint and wallpaper stores","Not Available",
"1992-06-01","44413","Hardware stores",,1165
"1992-06-01","445","Food and beverage stores",,30769
"1992-06-01","4451","Grocery stores",,28039
"1992-06-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-06-01","4453","Beer, wine, and liquor stores",,1775
"1992-06-01","446","Health and personal care stores",,7387
"1992-06-01","44611","Pharmacies and drug stores",,6342
"1992-06-01","447","Gasoline stations",,13427
"1992-06-01","448","Clothing and clothing access. stores",,9182
"1992-06-01","4481","Clothing stores",,6534
"1992-06-01","44811","Men's clothing stores",,853
"1992-06-01","44812","Women's clothing stores",,2424
"1992-06-01","44814","Family clothing stores",,2516
"1992-06-01","44819","Other clothing stores","Not Available",
"1992-06-01","4482","Shoe stores",,1498
"1992-06-01","44831","Jewelry stores",,1094
"1992-06-01","451","Sporting goods, hobby, musical instrument, and book stores",,3240
"1992-06-01","45111","Sporting goods stores",,1334
"1992-06-01","45112","Hobby, toy, and game stores",,721
"1992-06-01","451211","Book stores",,589
"1992-06-01","452","General merchandise stores",,18812
"1992-06-01","4521","Department stores",,13354
"1992-06-01","452111","Department stores(excl. discount department stores)",,6163
"1992-06-01","452112","Discount dept. stores",,7191
"1992-06-01","4529","Other general merchandise stores",,5458
"1992-06-01","45291","Warehouse clubs and superstores",,3107
"1992-06-01","45299","All other gen. merchandise stores",,2351
"1992-06-01","453","Miscellaneous store retailers",,4518
"1992-06-01","4532","Office supplies, stationery, and gift stores",,1611
"1992-06-01","45321","Office supplies and stationery stores",,725
"1992-06-01","45322","Gift, novelty, and souvenir stores",,886
"1992-06-01","45330","Used merchandise stores",,519
"1992-06-01","454","Nonstore retailers",,5761
"1992-06-01","4541","Electronic shopping and mail-order houses",,2602
"1992-06-01","45431","Fuel dealers",,1016
"1992-06-01","722","Food services and drinking places",,16814
"1992-06-01","7224","Drinking places",,986
"1992-06-01","7225","Restaurants and other eating places",,14384
"1992-06-01","722511","Full service restaurants",,6997
"1992-06-01","722513, 722514, 722515","Limited service eating places",,7387
"1992-06-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,113460
"1992-06-01",,"Retail sales and food services excl gasoline stations",,155236
"1992-06-01",,"Retail and food services sales, total",,168663
"1992-06-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,116847
"1992-06-01",,"Retail sales, total",,151849
"1992-06-01",,"Retail sales and food services excl motor vehicle and parts",,130274
"1992-06-01",,"GAFO(1)",,40990
"1992-07-01","441","Motor vehicle and parts dealers",,37814
"1992-07-01","4411","Automobile dealers",,32185
"1992-07-01","4411, 4412","Automobile and other motor vehicle dealers",,34077
"1992-07-01","44111","New car dealers",,29934
"1992-07-01","44112","Used car dealers",,2251
"1992-07-01","4413","Automotive parts, acc., and tire stores",,3737
"1992-07-01","442","Furniture and home furnishings stores",,4407
"1992-07-01","442, 443","Furniture, home furn, electronics, and appliance stores",,8337
"1992-07-01","4421","Furniture stores",,2627
"1992-07-01","4422","Home furnishings stores",,1780
"1992-07-01","44221","Floor covering stores",,904
"1992-07-01","442299","All other home furnishings stores","Not Available",
"1992-07-01","443","Electronics and appliance stores",,3930
"1992-07-01","443141","Household appliance stores",,764
"1992-07-01","443142","Electronics stores","Not Available",
"1992-07-01","444","Building mat. and garden equip. and supplies dealers",,11658
"1992-07-01","4441","Building mat. and supplies dealers",,9981
"1992-07-01","44412","Paint and wallpaper stores","Not Available",
"1992-07-01","44413","Hardware stores",,1142
"1992-07-01","445","Food and beverage stores",,32402
"1992-07-01","4451","Grocery stores",,29479
"1992-07-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-07-01","4453","Beer, wine, and liquor stores",,1912
"1992-07-01","446","Health and personal care stores",,7277
"1992-07-01","44611","Pharmacies and drug stores",,6236
"1992-07-01","447","Gasoline stations",,13874
"1992-07-01","448","Clothing and clothing access. stores",,9103
"1992-07-01","4481","Clothing stores",,6551
"1992-07-01","44811","Men's clothing stores",,714
"1992-07-01","44812","Women's clothing stores",,2373
"1992-07-01","44814","Family clothing stores",,2653
"1992-07-01","44819","Other clothing stores","Not Available",
"1992-07-01","4482","Shoe stores",,1449
"1992-07-01","44831","Jewelry stores",,1037
"1992-07-01","451","Sporting goods, hobby, musical instrument, and book stores",,3224
"1992-07-01","45111","Sporting goods stores",,1340
"1992-07-01","45112","Hobby, toy, and game stores",,678
"1992-07-01","451211","Book stores",,592
"1992-07-01","452","General merchandise stores",,18575
"1992-07-01","4521","Department stores",,13101
"1992-07-01","452111","Department stores(excl. discount department stores)",,6025
"1992-07-01","452112","Discount dept. stores",,7076
"1992-07-01","4529","Other general merchandise stores",,5474
"1992-07-01","45291","Warehouse clubs and superstores",,3097
"1992-07-01","45299","All other gen. merchandise stores",,2377
"1992-07-01","453","Miscellaneous store retailers",,4488
"1992-07-01","4532","Office supplies, stationery, and gift stores",,1717
"1992-07-01","45321","Office supplies and stationery stores",,775
"1992-07-01","45322","Gift, novelty, and souvenir stores",,942
"1992-07-01","45330","Used merchandise stores",,443
"1992-07-01","454","Nonstore retailers",,5834
"1992-07-01","4541","Electronic shopping and mail-order houses",,2665
"1992-07-01","45431","Fuel dealers",,969
"1992-07-01","722","Food services and drinking places",,17304
"1992-07-01","7224","Drinking places",,1015
"1992-07-01","7225","Restaurants and other eating places",,14875
"1992-07-01","722511","Full service restaurants",,7272
"1992-07-01","722513, 722514, 722515","Limited service eating places",,7603
"1992-07-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,118202
"1992-07-01",,"Retail sales, total",,152586
"1992-07-01",,"Retail sales and food services excl gasoline stations",,156016
"1992-07-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,114772
"1992-07-01",,"GAFO(1)",,40956
"1992-07-01",,"Retail and food services sales, total",,169890
"1992-07-01",,"Retail sales and food services excl motor vehicle and parts",,132076
"1992-08-01","441","Motor vehicle and parts dealers",,35436
"1992-08-01","4411","Automobile dealers",,30139
"1992-08-01","4411, 4412","Automobile and other motor vehicle dealers",,31809
"1992-08-01","44111","New car dealers",,28052
"1992-08-01","44112","Used car dealers",,2087
"1992-08-01","4413","Automotive parts, acc., and tire stores",,3627
"1992-08-01","442","Furniture and home furnishings stores",,4446
"1992-08-01","442, 443","Furniture, home furn, electronics, and appliance stores",,8263
"1992-08-01","4421","Furniture stores",,2639
"1992-08-01","4422","Home furnishings stores",,1807
"1992-08-01","44221","Floor covering stores",,917
"1992-08-01","442299","All other home furnishings stores","Not Available",
"1992-08-01","443","Electronics and appliance stores",,3817
"1992-08-01","443141","Household appliance stores",,727
"1992-08-01","443142","Electronics stores","Not Available",
"1992-08-01","444","Building mat. and garden equip. and supplies dealers",,11219
"1992-08-01","4441","Building mat. and supplies dealers",,9742
"1992-08-01","44412","Paint and wallpaper stores","Not Available",
"1992-08-01","44413","Hardware stores",,1081
"1992-08-01","445","Food and beverage stores",,31469
"1992-08-01","4451","Grocery stores",,28645
"1992-08-01","44511","Supermarkets and other grocery (except convenience) stores","Not Available",
"1992-08-01","4453","Beer, wine, and liquor stores",,1862
"1992-08-01","446","Health and personal care stores",,7313
"1992-08-01","44611","Pharmacies and drug stores",,6280
"1992-08-01","447","Gasoline stations",,13825
"1992-08-01","448","Clothing and clothing access. stores",,10513
"1992-08-01","4481","Clothing stores",,7486
"1992-08-01","44811","Men's clothing stores",,777
"1992-08-01","44812","Women's clothing stores",,2657
"1992-08-01","44814","Family clothing stores",,3046
"1992-08-01","44819","Other clothing stores","Not Available",
"1992-08-01","4482","Shoe stores",,1838
"1992-08-01","44831","Jewelry stores",,1089
"1992-08-01","451","Sporting goods, hobby, musical instrument, and book stores",,3586
"1992-08-01","45111","Sporting goods stores",,1377
"1992-08-01","45112","Hobby, toy, and game stores",,653
"1992-08-01","451211","Book stores",,894
"1992-08-01","452","General merchandise stores",,20518
"1992-08-01","4521","Department stores",,14783
"1992-08-01","452111","Department stores(excl. discount department stores)",,7145
"1992-08-01","452112","Discount dept. stores",,7638
"1992-08-01","4529","Other general merchandise stores",,5735
"1992-08-01","45291","Warehouse clubs and superstores",,3288
"1992-08-01","45299","All other gen. merchandise stores",,2447
"1992-08-01","453","Miscellaneous store retailers",,4504
"1992-08-01","4532","Office supplies, stationery, and gift stores",,1762
"1992-08-01","45321","Office supplies and stationery stores",,811
"1992-08-01","45322","Gift, novelty, and souvenir stores",,951
"1992-08-01","45330","Used merchandise stores",,532
"1992-08-01","454","Nonstore retailers",,5830
"1992-08-01","4541","Electronic shopping and mail-order houses",,2673
"1992-08-01","45431","Fuel dealers",,1005
"1992-08-01","722","Food services and drinking places",,17888
"1992-08-01","7224","Drinking places",,1021
"1992-08-01","7225","Restaurants and other eating places",,15381
"1992-08-01","722511","Full service restaurants",,7535
"1992-08-01","722513, 722514, 722515","Limited service eating places",,7846
"1992-08-01",,"Retail and food services sales, total",,170364
"1992-08-01",,"GAFO(1)",,44642
"1992-08-01",,"Retail sales and food services excl gasoline stations",,156539
"1992-08-01",,"Retail sales and food services excl motor vehicle and parts",,134928
"1992-08-01",,"Retail sales, total",,152476
"1992-08-01",,"Retail sales and food services excl motor vehicle and parts and gasoline stations",,121103
"1992-08-01",,"Retail sales, total (excl. motor vehicle and parts dealers)",,117040
"1992-09-01","441","Motor vehicle and parts dealers",,35883
"1992-09-01","4411","Automobile dealers",,30965
"1992-09-01","4411, 4412","Automobile and other motor vehicle dealers",,32337
"1992-09-01","44111","New car dealers",,28949
"1992-09-01","44112","Used car dealers",,2016
"1992-09-01","4413","Automotive parts, acc., and tire stores",,3546
"1992-09-01","442","Furniture and home furnishings stores",,4328
"1992-09-01","442, 443","Furniture, home furn, electronics, and appliance stores",,8123
"1992-09-01","4421","Furniture stores",,2611
"1992-09-01","4422","Home furnishings stores",,1717
"1992-09-01","44221","Floor covering stores",,916
