full_name,first_name,last_name,middle_name,nickname,suffix,other_names_end,other_names_middle,other_names_last,birthday,gender,id_bioguide,id_bioguide_previous_0,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,id_house_history,id_house_history_alternate,id_thomas,id_cspan,id_votesmart,id_lis,id_ballotpedia,id_opensecrets,id_fec_0,id_fec_1,id_fec_2
"Richard J. Durbin","Richard","Durbin","J.",,,,,,"1944-11-21","M","D000563",,300038,15021,"Dick Durbin","Q434804","kg:/m/01xcd1",12527,,326,6741,26847,"S253","Dick Durbin","N00004981","S6IL00151","H2IL20026",
"Brian Schatz","Brian","Schatz","Emanuel",,,,,,"1972-10-20","M","S001194",,412507,41112,"Brian Schatz","Q1827902","kg:/m/0dd109",,,2173,87784,17852,"S353","Brian E. Schatz","N00028138","S4HI00136","H6HI02244",
"Michael B. Enzi","Michael","Enzi","B.",,,,,,"1944-02-01","M","E000285",,300041,49706,"Mike Enzi","Q432431","kg:/m/021ph1",,,1542,45824,558,"S254","Mike Enzi","N00006249","S6WY00126",,
"Lindsey Graham","Lindsey","Graham","O.",,,,,,"1955-07-09","M","G000359",,300047,29566,"Lindsey Graham","Q22212","kg:/m/01_pdg",14015,,452,36782,21992,"S293","Lindsey Graham","N00009975","S0SC00149","H4SC03087",
"James M. Inhofe","James","Inhofe","M.","Jim",,,,,"1934-11-17","M","I000024",,300055,15424,"Jim Inhofe","Q723134","kg:/m/021kpl",15645,,583,5619,27027,"S236","Jim Inhofe","N00005582","S4OK00083","H6OK01102",
"Mitch McConnell","Mitch","McConnell",,,,,,,"1942-02-20","M","M000355",,300072,14921,"Mitch McConnell","Q355522","kg:/m/01z6ls",,,1395,2351,53298,"S174","Mitch McConnell","N00003389","S2KY00012",,
"Jeff Merkley","Jeff","Merkley",,,,,,,"1956-10-24","M","M001176",,412325,40908,"Jeff Merkley","Q1368405","kg:/m/026k60f",,,1900,1029842,23644,"S322","Jeff Merkley","N00029303","S8OR00207",,
"Jack Reed","John","Reed","F.","Jack",,,,,"1949-11-12","M","R000122",,300081,29142,"Jack Reed (Rhode Island politician)","Q528979","kg:/m/0202mc",20232,,949,24239,27060,"S259","Jack Reed","N00000362","S6RI00163","H0RI02071",
"James E. Risch","James","Risch",,,,,,,"1943-05-03","M","R000584",,412322,40902,"Jim Risch","Q721871","kg:/m/06y9p0",,,1896,1020034,2919,"S323","Jim Risch","N00029441","S8ID00092",,
"J. Luis Correa","J.","Correa","Luis",,,,,,"1958-01-24","M","C001110",,412688,21711,"Lou Correa","Q6685454","kg:/m/02q_np2",,,,46310,9732,,,"N00037260","H6CA46116",,
"Pat Roberts","Pat","Roberts",,,,,,,"1936-04-20","M","R000307",,300083,14852,"Pat Roberts","Q538375","kg:/m/01_pdv",20465,,968,16354,26866,"S260","Pat Roberts","N00005285","S6KS00080","H0KS01016",
"Jeanne Shaheen","Jeanne","Shaheen",,,,,,,"1947-01-28","F","S001181",,412323,40906,"Jeanne Shaheen","Q270316","kg:/m/01rrm2",22618,,1901,22850,1663,"S324","Jeanne Shaheen","N00024790","S0NH00219",,
"Tom Udall","Tom","Udall","S.",,,,,,"1948-05-18","M","U000039",,400413,29924,"Tom Udall","Q957690","kg:/m/033t35",20879,,1567,10075,22658,"S326","Tom Udall","N00006561","H8NM03097","S8NM00184",
"Mark R. Warner","Mark","Warner",,,,,,,"1954-12-15","M","W000805",,412321,40909,"Mark Warner","Q453893","kg:/m/024mm1",,,1897,7630,535,"S327","Mark Warner","N00002097","S6VA00093","P80003023",
"Kirsten E. Gillibrand","Kirsten","Gillibrand","E.",,,,,,"1966-12-09","F","G000555",,412223,20735,"Kirsten Gillibrand","Q22222","kg:/m/0gnfc4",14269,,1866,1022862,65147,"S331","Kirsten Gillibrand","N00027658","H6NY20167","S0NY00410",
"Christopher A. Coons","Chris","Coons","Andrew",,,,,,"1963-09-09","M","C001088",,412390,40916,"Chris Coons","Q923242","kg:/m/082d3d",,,1984,9269028,122834,"S337","Chris Coons","N00031820","S0DE00092",,
"Joe Manchin, III","Joe","Manchin",,,"III",,,,"1947-08-24","M","M001183",,412391,40915,"Joe Manchin","Q538868","kg:/m/04lc5t",,,1983,62864,7547,"S338","Joe Manchin III","N00032838","S0WV00090",,
"Ted Lieu","Ted","Lieu",,,,,,,"1969-03-29","M","L000582",,412616,21507,"Ted Lieu","Q7693450","kg:/m/0f3y2w",,,2230,28076,1516,,"Ted Lieu","N00035825","H4CA33119",,
"Robert B. Aderholt","Robert","Aderholt","B.",,,,,,"1965-07-22","M","A000055",,400004,29701,"Robert Aderholt","Q672671","kg:/m/024p03",8333,,1460,45516,441,,"Robert B. Aderholt","N00003028","H6AL04098",,
"Justin Amash","Justin","Amash",,,,,,,"1980-04-18","M","A000367",,412438,21143,"Justin Amash","Q1714165","kg:/m/0c00p_n",8769,,2029,1033767,105566,,"Justin Amash","N00031938","H0MI03126",,
"Tammy Baldwin","Tammy","Baldwin",,,,,,,"1962-02-11","F","B001230",,400013,29940,"Tammy Baldwin","Q40628","kg:/m/024v02",10361,,1558,57884,3470,"S354","Tammy Baldwin","N00004367","H8WI00018","S2WI00219",
"Karen Bass","Karen","Bass",,,,,,,"1953-10-03","F","B001270",,412404,21110,"Karen Bass","Q461739","kg:/m/027g9m6",10433,,1996,62502,28963,,,"N00031877","H0CA33117",,
"Michael F. Bennet","Michael","Bennet","F.",,,,,,"1964-11-28","M","B001267",,412330,40910,"Michael Bennet","Q554792","kg:/m/05b60qf",,,1965,1031622,110942,"S330","Michael Bennet","N00030608","S0CO00211",,
"William Floyd","William","Floyd",,,,,,,"1734-12-17","M","F000224",,404179,3237,"William Floyd","Q1381060","kg:/m/01mpvf",13251,,,,,,,,,,
"Paul Cook","Paul","Cook",,,,,,,"1943-03-03","M","C001094",,412513,21305,"Paul Cook (politician)","Q3408766","kg:/m/0288t_6",,,2103,68278,58121,,"Paul Cook","N00034224","H2CA08164",,
"Gus M. Bilirakis","Gus","Bilirakis","M.",,,,,,"1963-02-08","M","B001257",,412250,20758,"Gus Bilirakis","Q1555314","kg:/m/0dy3z1",10413,,1838,1022873,17318,,"Gus M. Bilirakis","N00027462","H6FL09070",,
"Rob Bishop","Rob","Bishop",,,,,,,"1951-07-13","M","B001250",,400029,20357,"Rob Bishop","Q433857","kg:/m/02tn41",10399,,1753,1003621,50544,,"Rob Bishop","N00025292","H2UT01094",,
"Sanford D. Bishop, Jr.","Sanford","Bishop","D.",,"Jr.",,,,"1947-02-04","M","B000490",,400030,29339,"Sanford Bishop","Q983428","kg:/m/02554k",7697,,91,26194,26817,,,"N00002674","H2GA02031",,
"Marsha Blackburn","Marsha","Blackburn","W.",,,,,,"1952-06-06","F","B001243",,400032,20351,"Marsha Blackburn","Q458971","kg:/m/01fnkt",10385,,1748,31226,25186,"S396","Marsha Blackburn","N00003105","H2TN06030","S8TN00337",
"Eric Swalwell","Eric","Swalwell",,,,,,,"1980-11-16","M","S001193",,412514,21306,"Eric Swalwell","Q3466996","kg:/m/0ncq55g",,,2104,79729,129529,,"Eric Swalwell","N00033508","H2CA15094",,
"Earl Blumenauer","Earl","Blumenauer",,,,,,,"1948-08-16","M","B000574",,400033,29588,"Earl Blumenauer","Q748066","kg:/m/033tw8",9518,,99,43809,367,,"Earl Blumenauer","N00007727","H6OR03064",,
"Richard Blumenthal","Richard","Blumenthal",,,,,,,"1946-02-13","M","B001277",,412490,41101,"Richard Blumenthal","Q2023708","kg:/m/03tg8m",,,2076,21799,1568,"S341","Richard Blumenthal","N00031685","S0CT00177",,
"Roy Blunt","Roy","Blunt",,,,,,,"1950-01-10","M","B000575",,400034,29735,"Roy Blunt","Q1525924","kg:/m/034fn4",9520,,1464,45465,418,"S342","Roy Blunt","N00005195","H6MO07128","S0MO00183",
"John Boozman","John","Boozman",,,,,,,"1950-12-10","M","B001236",,400040,20101,"John Boozman","Q1344707","kg:/m/024s3v",10372,,1687,92069,27958,"S343","John Boozman","N00013873","H2AR03176","S0AR00150",
"Kevin Brady","Kevin","Brady","P.",,,,,,"1955-04-11","M","B000755",,400046,29760,"Kevin Brady","Q472241","kg:/m/03tq00",9754,,1468,45749,361,,,"N00005883","H6TX08100",,
"Norma J. Torres","Norma","Torres",,,,,,,"1965-04-04","F","T000474",,412617,21508,"Norma Torres","Q3343727","kg:/m/03wd1hs",15032410409,,2231,76129,71284,,,"N00036107","H4CA35031",,
"Mo Brooks","Mo","Brooks",,,,,,,"1954-04-29","M","B001274",,412395,21193,"Mo Brooks","Q1941306","kg:/m/0c3xdjf",10438,,1987,94888,121610,,"Mo Brooks","N00030910","H0AL05163",,
"Vern Buchanan","Vern","Buchanan",,,,,,,"1951-05-08","M","B001260",,412196,20709,"Vern Buchanan","Q2517229","kg:/m/0gtjsp",10419,,1840,1021626,66247,,"Vern Buchanan","N00027626","H6FL13148",,
"Larry Bucshon","Larry","Bucshon",,,,,,,"1962-05-31","M","B001275",,412427,21132,"Larry Bucshon","Q944286","kg:/m/0dd9k_y",10439,,2018,61837,120335,,"Larry Bucshon","N00031227","H0IN08114",,
"Michael C. Burgess","Michael","Burgess","C.",,,,,,"1950-12-23","M","B001248",,400052,20355,"Michael C. Burgess","Q539521","kg:/m/03tq8_",10395,,1751,1003620,50120,,,"N00025219","H2TX26093",,
"Richard Burr","Richard","Burr","M.",,,,,,"1955-11-30","M","B001135",,400054,29548,"Richard Burr","Q331278","kg:/m/03g_s9",10236,,153,31054,21787,"S300","Richard Burr","N00002221","S4NC00089","H2NC05074",
"Lisa Blunt Rochester","Lisa","Blunt Rochester",,,,,,,"1962-02-10","F","B001303",,412689,21706,"Lisa Blunt Rochester","Q26899141","kg:/g/11c3yvwbvn",,,,104772,173249,,,"N00038414","H6DE00206",,
"G. K. Butterfield","George","Butterfield","Kenneth","G.K.","Jr.",,,,"1947-04-27","M","B001251",,400616,20340,"G. K. Butterfield","Q983532","kg:/m/03g_pq",10401,,1761,1013540,41077,,"G.K. Butterfield","N00027035","H4NC01046",,
"Ken Calvert","Ken","Calvert","S.",,,,,,"1953-06-08","M","C000059",,400057,29323,"Ken Calvert","Q538978","kg:/m/024xl1",10517,,165,26709,26777,,,"N00007099","H2CA37023",,
"Shelley Moore Capito","Shelley","Capito","Moore",,,,,,"1953-11-26","F","C001047",,400061,20146,"Shelley Moore Capito","Q459618","kg:/m/024pwq",11762,,1676,83737,11701,"S372","Shelley Moore Capito","N00009771","H0WV02138","S4WV00159",
"André Carson","André","Carson",,,,,,,"1974-10-16","M","C001072",,412258,20757,"André Carson","Q517649","kg:/m/03qcvz1",11806,,1889,1027364,84917,,"Andre Carson","N00029513","H8IN07184",,
"Paul A. Gosar","Paul","Gosar","A.",,,,,,"1958-11-22","M","G000565",,412397,21103,"Paul Gosar","Q2059832","kg:/m/0czdqz0",14283,,1992,62470,123491,,"Paul Gosar","N00030771","H0AZ01259",,
"John R. Carter","John","Carter","R.",,,,,,"1941-11-06","M","C001051",,400068,20356,"John Carter (Texas politician)","Q369814","kg:/m/04m7rg",11770,,1752,1004257,49296,,"John Carter","N00025095","H2TX31044",,
"Bill Cassidy","Bill","Cassidy",,,,,,,"1957-09-28","M","C001075",,412269,20919,"Bill Cassidy","Q861999","kg:/m/0286t7r",11811,,1925,1030546,69494,"S373","Bill Cassidy","N00030245","H8LA00017","S4LA00107",
"Kathy Castor","Kathy","Castor",,,,,,,"1966-08-20","F","C001066",,412195,20708,"Kathy Castor","Q458492","kg:/m/0dq1v6",11796,,1839,1022874,53825,,"Kathy Castor","N00027514","H6FL11126","H6FL11134",
"Steve Chabot","Steve","Chabot","J.",,,,,,"1953-01-22","M","C000266",,400071,29550,"Steve Chabot","Q506694","kg:/m/0343vk",10791,,186,36705,21790,,"Steve Chabot","N00003689","H8OH01043",,
"Judy Chu","Judy","Chu","M.",,,,,,"1953-07-07","F","C001080",,412379,20955,"Judy Chu","Q460035","kg:/m/0krsk2",11820,,1970,92573,16539,,"Judy Chu","N00030600","H0CA32101",,
"Jesús G. ""Chuy"" García","Jesús","García","G.",,,,,,"1956-04-12","M","G000586",,412774,21921,"Jesús ""Chuy"" García","Q18631698","kg:/m/012c8r5x",,,,,6261,,,"N00042114","H8IL04134",,
"David N. Cicilline","David","Cicilline","N.",,,,,,"1961-07-15","M","C001084",,412470,21172,"David Cicilline","Q938498","kg:/m/04t97v",11826,,2055,1033865,7349,,"David N. Cicilline","N00032019","H0RI01073",,
"Yvette D. Clarke","Yvette","Clarke","D.",,,,,,"1964-11-21","F","C001067",,412221,20733,"Yvette Clarke","Q461679","kg:/m/06h90t",11798,,1864,1022875,44741,,"Yvette D. Clarke","N00026961","H4NY11138",,
"Wm. Lacy Clay","Wm.","Clay","Lacy",,"Jr.",,,,"1956-07-27","M","C001049",,400074,20147,"Lacy Clay","Q959455","kg:/m/024vjr",11766,,1654,88332,8967,,"William Lacy Clay","N00012460","H0MO01066",,
"Emanuel Cleaver","Emanuel","Cleaver",,,"II",,,,"1944-10-26","M","C001061",,400639,20517,"Emanuel Cleaver","Q1334654","kg:/m/04cbbm",11786,,1790,10933,39507,,,"N00026790","H4MO05234",,
"James E. Clyburn","James","Clyburn","E.","Jim",,,,,"1940-07-21","M","C000537",,400075,39301,"Jim Clyburn","Q1289889","kg:/m/03c469",11119,,208,21607,27066,,"James E. Clyburn","N00002408","H2SC02042",,
"Steve Cohen","Steve","Cohen",,,,,,,"1949-05-24","M","C001068",,412236,20748,"Steve Cohen","Q512330","kg:/m/04l8cr",11800,,1878,1022876,24340,,,"N00003225","H6TN09068",,
"Tom Cole","Tom","Cole",,,,,,,"1949-04-28","M","C001053",,400077,20344,"Tom Cole","Q173839","kg:/m/03tqb0",11774,,1742,1003609,46034,,"Tom Cole","N00025726","H2OK04055",,
"K. Michael Conaway","K.","Conaway","Michael",,,,,,"1948-06-11","M","C001062",,400655,20531,"Mike Conaway","Q538944","kg:/m/04cmt7",11788,,1805,1004595,49935,,"Mike Conaway","N00026041","H4TX19136","H3TX19021",
"Gerald E. Connolly","Gerald","Connolly","E.",,,,,,"1950-03-30","M","C001078",,412272,20952,"Gerry Connolly","Q1514859","kg:/m/04f40kn",11817,,1959,1015936,95078,,,"N00029891","H8VA11062",,
"Henry Cuellar","Henry","Cuellar",,,,,,,"1955-09-19","M","C001063",,400657,20533,"Henry Cuellar","Q539562","kg:/m/04clj6",11790,,1807,1013062,5486,,,"N00024978","H2TX23082",,
"Jim Cooper","Jim","Cooper",,,,,,,"1954-06-19","M","C000754",,400081,15019,"Jim Cooper","Q973737","kg:/m/03tm2p",11401,,231,1201,48891,,"Jim Cooper","N00003132","H2TN05131","H2TN04027","S4TN00096"
"Jim Costa","Jim","Costa",,,,,,,"1952-04-13","M","C001059",,400618,20501,"Jim Costa","Q675869","kg:/m/04chm2",11782,,1774,19599,3577,,,"N00026341","H4CA20082",,
"Joe Courtney","Joe","Courtney",,,,,,,"1953-04-06","M","C001069",,412193,20706,"Joe Courtney (politician)","Q434470","kg:/m/0700nd",11802,,1836,1021284,30333,,"Joe Courtney","N00024842","H2CT02112",,
"Mike Crapo","Michael","Crapo","D.",,,,,,"1951-05-20","M","C000880",,300030,29345,"Mike Crapo","Q734319","kg:/m/021pgp",11556,,250,26440,26830,"S266","Mike Crapo","N00006267","S8ID00027","H2ID02034",
"John Reed","John","Reed",,,,,,,"1751-11-11","M","R000120",,409100,7788,"John Reed Sr.","Q1701549","kg:/m/0cj8ly",20229,,,,,,,,,,
"Eric A. ""Rick"" Crawford","Eric","Crawford","A.","Rick",,,,,"1966-01-22","M","C001087",,412400,21106,"Rick Crawford (politician)","Q2151554","kg:/m/0czb3pp",11831,,1989,623259,119208,,"Rick Crawford","N00030770","H0AR01083",,
"Sean Casten","Sean","Casten",,,,,,,"1971-11-23","M","C001117",,412775,21906,"Sean Casten","Q55386655",,,,,,,,,"N00041338","H8IL06139",,
"Danny K. Davis","Danny","Davis","K.",,,,,,"1941-09-06","M","D000096",,400093,29717,"Danny K. Davis","Q1164657","kg:/m/0256k7",11949,,1477,44325,233,,"Danny K. Davis","N00004884","H4IL07037",,
"Susan A. Davis","Susan","Davis","A.",,,,,,"1944-04-13","F","D000598",,400097,20108,"Susan Davis (politician)","Q460675","kg:/m/024xs5",12571,,1641,85595,8168,,,"N00009604","H0CA49055",,
"Peter A. DeFazio","Peter","DeFazio","A.",,,,,,"1947-05-27","M","D000191",,400100,15410,"Peter DeFazio","Q1758507","kg:/m/033ttx",12068,,279,6068,27037,,"Peter DeFazio","N00007781","H6OR04047","S6OR00151",
"Diana DeGette","Diana","DeGette","L.",,,,,,"1957-07-29","F","D000197",,400101,29710,"Diana DeGette","Q437159","kg:/m/024z95",12076,,1479,90293,561,,"Diana DeGette","N00006134","H6CO01141",,
"Matt Gaetz","Matt","Gaetz",,,,,,,"1982-05-07","M","G000578",,412690,21719,"Matt Gaetz","Q16221742","kg:/m/0s8w2_s",,,,104528,117101,,,"N00039503","H6FL01119",,
"Rosa L. DeLauro","Rosa","DeLauro","L.",,,,,,"1943-03-02","F","D000216",,400103,29109,"Rosa DeLauro","Q434952","kg:/m/024zn0",12101,,281,19040,26788,,"Rosa DeLauro","N00000615","H0CT03072",,
"Scott DesJarlais","Scott","DesJarlais",,,,,,,"1964-02-21","M","D000616",,412477,21179,"Scott DesJarlais","Q2260839","kg:/m/09k4h2_",12604,,2062,623517,123473,,,"N00030957","H0TN04195",,
"Theodore E. Deutch","Theodore","Deutch","E.",,,,,,"1966-05-07","M","D000610",,412385,20959,"Ted Deutch","Q245724","kg:/m/03cg3qs",12594,,1976,9267613,67151,,"Theodore E. Deutch","N00031317","H0FL19080",,
"Mario Diaz-Balart","Mario","Diaz-Balart",,,,,,,"1961-09-25","M","D000600",,400108,20316,"Mario Díaz-Balart","Q767270","kg:/m/02536z",12575,,1717,1003562,24312,,"Mario Diaz-Balart","N00025337","H2FL25018",,
"Mazie K. Hirono","Mazie","Hirono","K.",,,,,,"1947-11-03","F","H001042",,412200,20713,"Mazie Hirono","Q16476","kg:/m/0357cd",15580,,1844,91216,1677,"S361","Mazie K. Hirono","N00028139","H6HI02251","S2HI00106",
"Lloyd Doggett","Lloyd","Doggett","A.",,,,,,"1946-10-06","M","D000399",,400111,29571,"Lloyd Doggett","Q363817","kg:/m/03flzn",12328,,303,36810,21689,,,"N00006023","H4TX10028",,
"Michael F. Doyle","Michael","Doyle","F.","Mike","Jr.",,,,"1953-08-05","M","D000482",,400114,29561,"Michael F. Doyle","Q1344200","kg:/m/03tqjg",12436,,316,36774,21853,,"Michael F. Doyle","N00001373","H4PA18131",,
"Jeff Duncan","Jeff","Duncan",,,,,,,"1966-01-07","M","D000615",,412472,21174,"Jeff Duncan (politician)","Q1027026","kg:/m/0ddgp1k",12602,,2057,62713,47967,,"Jeff Duncan","N00030752","H0SC03077",,
"Eliot L. Engel","Eliot","Engel","L.",,,,,,"1947-02-18","M","E000179",,400122,15603,"Eliot Engel","Q1329618","kg:/m/03tt1r",12815,,344,6109,26972,,,"N00001003","H8NY19058",,
"John Hoeven","John","Hoeven",,,,,,,"1957-03-13","M","H001061",,412494,41107,"John Hoeven","Q374762","kg:/m/01qb45",,,2079,85233,41788,"S344","John Hoeven","N00031688","S0ND00093",,
"Anna G. Eshoo","Anna","Eshoo","G.",,,,,,"1942-12-13","F","E000215",,400124,29312,"Anna Eshoo","Q291193","kg:/m/024t6x",12867,,355,26130,26741,,,"N00007335","H8CA12098",,
"Charles J. ""Chuck"" Fleischmann","Charles","Fleischmann","J.","Chuck",,,,,"1962-10-11","M","F000459",,412476,21178,"Chuck Fleischmann","Q521959","kg:/m/0ddd54f",13563,,2061,95146,123456,,,"N00030815","H0TN03254",,
"Bill Flores","Bill","Flores",,,,,,,"1954-02-25","M","F000461",,412480,21182,"Bill Flores","Q862103","kg:/m/0bs1ntq",13566,,2065,623540,116906,,,"N00031545","H0TX17104",,
"Jeff Fortenberry","Jeff","Fortenberry","Lane",,,,,,"1960-12-27","M","F000449",,400640,20518,"Jeff Fortenberry","Q1397331","kg:/m/04fcch",13545,,1793,1013049,41929,,"Jeff Fortenberry","N00026631","H4NE01064",,
"Louie Gohmert","Louie","Gohmert","B.",,"Jr.",,,,"1953-08-18","M","G000552",,400651,20527,"Louie Gohmert","Q532647","kg:/m/0490h9",14263,,1801,1011394,50029,,"Louie Gohmert","N00026148","H4TX04039",,
"Virginia Foxx","Virginia","Foxx",,,,,,,"1943-06-29","F","F000450",,400643,20521,"Virginia Foxx","Q458453","kg:/m/02b5dz",13547,,1791,1013052,6051,,"Virginia Foxx","N00026166","H4NC05146",,
"Marcia L. Fudge","Marcia","Fudge","L.",,,,,,"1952-10-29","F","F000455",,412327,20941,"Marcia Fudge","Q461746","kg:/m/04n11v9",13557,,1895,1030928,110640,,"Marcia L. Fudge","N00030490","H8OH11141",,
"John Garamendi","John","Garamendi",,,,,,,"1945-01-24","M","G000559",,412382,20958,"John Garamendi","Q1340268","kg:/m/05fvls",14276,,1973,18413,29664,,,"N00030856","H0CA10149",,
"Cory Gardner","Cory","Gardner",,,,,,,"1974-08-22","M","G000562",,412406,21112,"Cory Gardner","Q1135774","kg:/m/0czd33q",14279,,1998,623308,30004,"S377","Cory Gardner","N00030780","H0CO04122","S4CO00395",
"Bob Gibbs","Bob","Gibbs",,,,,,,"1954-06-14","M","G000563",,412463,21165,"Bob Gibbs","Q887945","kg:/m/07qwv4",14280,,2049,1033844,45466,,"Bob Gibbs","N00031128","H0OH18077",,
"Mike Lee","Mike","Lee",,,,,,,"1971-06-04","M","L000577",,412495,41110,"Mike Lee (American politician)","Q627098","kg:/m/09v5q9x",,,2080,9267977,66395,"S346","Mike Lee","N00031696","S0UT00165",,
"Kay Granger","Kay","Granger",,,,,,,"1943-01-18","F","G000377",,400157,29762,"Kay Granger","Q468807","kg:/m/03tndx",14039,,1487,45709,334,,,"N00008799","H6TX12060",,
"Chuck Grassley","Charles","Grassley","E.","Chuck",,,,,"1933-09-17","M","G000386",,300048,14226,"Chuck Grassley","Q529294","kg:/m/020ymy",14050,,457,1167,53293,"S153","Chuck Grassley","N00001758","S0IA00028",,
"Sam Graves","Sam","Graves","B.",,,,,,"1963-11-07","M","G000546",,400158,20124,"Sam Graves","Q465638","kg:/m/03tnfy",14251,,1656,89873,9425,,,"N00013323","H0MO06073",,
"Tom Graves","Tom","Graves",,,,,,,"1970-02-03","M","G000560",,412388,20962,"Tom Graves","Q1647301","kg:/m/0c02hpl",14278,,1979,11519,31969,,"Tom Graves","N00030788","H0GA09030",,
"Al Green","Al","Green",,,,,,,"1947-09-01","M","G000553",,400653,20529,"Al Green (politician)","Q749039","kg:/m/02kn0_",14265,,1803,1012969,49680,,"Al Green","N00026686","H4TX09095",,
"H. Morgan Griffith","H.","Griffith","Morgan",,,,,,"1958-03-15","M","G000568",,412485,21191,"Morgan Griffith","Q1684857","kg:/m/025vdrq",14288,,2070,62766,5148,,"Morgan Griffith","N00032029","H0VA09055",,
